,how_many_shops,property_id,locality_name,postal_code,streetname,housenumber,latitude,longitude,property_type,property_subtype,price,type_of_sale,nb_of_rooms,area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_area_plot,nb_of_facades,swimming_pool,state_of_building,surface_of_good
320,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
322,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,
323,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
324,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
325,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
326,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,
327,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,
328,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
329,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,
330,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
332,789.0,,,,,,,,,,,,,,,,,,,,,,,,,,
333,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,
334,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,
335,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,
336,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,
337,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,
338,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
339,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
340,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,
341,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
344,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,
345,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,
346,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
347,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
350,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
351,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
352,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,
353,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,
356,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
357,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
358,1128.0,,,,,,,,,,,,,,,,,,,,,,,,,,
359,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,
360,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
361,657.0,,,,,,,,,,,,,,,,,,,,,,,,,,
